ID_Funcionario,Apelido,Area,Cargo,Anos_na_Empresa,Aval_Valores,Descricao_Valores,Aval_Performace,Desc_Performace,Aval_Equipe,Desc__Equipe
1,Cometa,Operação,Motorista,"11,7",4,Alinhado aos valores,3,Dentro do esperado,3,Neutro
2,Jade,Experiência do Cliente,Analista CX,"1,7",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
3,Orion,Atendimento,Atendente,"6,5",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
4,Sirius,Marketing,Assistente Marketing,"2,3",5,Muito alinhado aos valores,4,Acima do esperado,3,Neutro
5,Safira,Comercial,Executivo Comercial,"2,2",3,Neutro,3,Dentro do esperado,3,Neutro
6,Safira,Administrativo,Analista Administrativo,"6,4",3,Neutro,5,Muito acima do esperado,4,Satisfeito com a equipe
7,Falcão,Atendimento,Supervisor Atendimento,"2,1",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
8,Águia,Financeiro,Assistente Financeiro,"1,4",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
9,Aurora,Financeiro,Assistente Financeiro,"0,7",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
10,Jade,Operação,Motorista,13,4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
11,Pixel,Operação,Fiscal Operacional,"5,4",5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
12,Eco,Marketing,Assistente Marketing,"5,2",5,Muito alinhado aos valores,3,Dentro do esperado,3,Neutro
13,Sol,RH,Business Partner,"1,9",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
14,Lua,Tecnologia,Desenvolvedor,2,4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
15,Lobo,Operação,Despachante,"5,5",4,Alinhado aos valores,4,Acima do esperado,3,Neutro
16,Orion,Planejamento,Analista Planejamento,"0,8",3,Neutro,5,Muito acima do esperado,3,Neutro
17,Nuvem,Marketing,Assistente Marketing,"1,8",4,Alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
18,Sirius,Financeiro,Analista Financeiro,"0,4",4,Alinhado aos valores,3,Dentro do esperado,4,Satisfeito com a equipe
19,Águia,Operação,Despachante,"2,7",4,Alinhado aos valores,3,Dentro do esperado,5,Muito satisfeito com a equipe
20,Pixel,Comercial,Analista Comercial,"2,9",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
21,Nuvem,Operação,Motorista,"1,1",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
22,Falcão,Jurídico,Assistente Jurídico,"4,7",3,Neutro,3,Dentro do esperado,3,Neutro
23,Vento,Operação,Despachante,4,4,Alinhado aos valores,4,Acima do esperado,3,Neutro
24,Sirius,Experiência do Cliente,Analista CX,"4,9",3,Neutro,4,Acima do esperado,4,Satisfeito com a equipe
25,Bravo,Operação,Despachante,"12,7",3,Neutro,5,Muito acima do esperado,5,Muito satisfeito com a equipe
26,Panda,RH,Business Partner,"2,7",4,Alinhado aos valores,4,Acima do esperado,2,Insatisfeito com a equipe
27,Delta,Operação,Supervisor Operacional,"16,1",4,Alinhado aos valores,5,Muito acima do esperado,4,Satisfeito com a equipe
28,Orion,Atendimento,Atendente,21,5,Muito alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
29,Cometa,Tecnologia,Analista de Sistemas,"3,7",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
30,Lobo,Marketing,Analista Marketing,"2,1",5,Muito alinhado aos valores,5,Muito acima do esperado,5,Muito satisfeito com a equipe
31,Orion,Operação,Despachante,"27,4",4,Alinhado aos valores,4,Acima do esperado,5,Muito satisfeito com a equipe
32,Trovão,Manutenção,Técnico de Manutenção,"0,5",4,Alinhado aos valores,4,Acima do esperado,4,Satisfeito com a equipe
